*** Aelf Mainnet ***,,,,,,,,,,,Execution Layer,,,,Chain SSDB,,,,State SSDB,,,,Exporter,,,,,,,,,Total CPU (vCore),Total Memory (GB),Storage (TB)
idc-svc-base-mainnet-geth-full-02,base-mainnet,Deployed,K8S,192.168.34.125,idc-chain-host-07,61.111.3.57,16.2,74.048,16.2,210.058,12,12,64,200,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,17,75,3.7
idc-svc-base-mainnet-reth-arch-01,base-mainnet,Deployed,K8S,192.168.34.190,idc-chain-host-19,61.111.3.69,12.2,42.048,12.2,260.058,8,8,32,250,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,43,8
idc-svc-base-mainnet-reth-arch-02,base-mainnet,Deployed,K8S,192.168.34.215,idc-chain-host-25,61.111.3.75,12.2,42.048,12.2,260.058,8,8,32,250,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,43,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,472,40.4
*** Base Sepolia ***,,,,,,,,,,,Execution Layer,,,,Consensus Layer,,,,GethExporter,,,,,,,,,,,,,,,
idc-int-base-sepolia-geth-arch-01,base-sepolia,Deployed,K8S,192.168.34.126,idc-chain-host-27,61.111.3.77,12.2,42.048,12.2,42.058,8,8,32,32,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,43,10.3
idc-int-base-sepolia-geth-arch-02 (PBSS),base-sepolia,Deployed,K8S,192.168.34.127,idc-chain-host-10,61.111.3.60,12.2,42.048,12.2,42.058,8,8,32,32,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,43,1
idc-int-base-sepolia-geth-full-01,base-sepolia,Deployed,K8S,192.168.34.128,idc-chain-host-17,61.111.3.67,12.2,26.048,12.2,26.058,8,8,16,16,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,27,0.9
idc-svc-base-sepolia-geth-arch-01,base-sepolia,Deployed,K8S,192.168.34.130,idc-chain-host-24,61.111.3.74,12.2,42.048,12.2,42.058,8,8,32,32,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,43,10.3
idc-svc-base-sepolia-geth-arch-02,base-sepolia,Deployed,K8S,192.168.34.131,idc-chain-host-29,61.111.3.79,12.2,42.048,12.2,42.058,8,8,32,32,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,43,10.3
idc-svc-base-sepolia-geth-full-01,base-sepolia,Deployed,K8S,192.168.34.132,idc-chain-host-31,61.111.3.81,12.2,26.048,12.2,26.058,8,8,16,16,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,27,0.9
idc-svc-base-sepolia-geth-full-02,base-sepolia,Deployed,K8S,192.168.34.133,idc-chain-host-12,61.111.3.62,12.2,26.048,12.2,26.058,8,8,16,16,4,4,10,10,0.2,0.2,0.048,0.058,,,,,,,,,,13,27,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,253,34.6
*** Bitcoin Cash Mainnet ***,,,,,,,,,,,Execution Layer,,,,BitcoinExporter,,,,,,,,,,,,,,,,,,,
idc-int-bch-mainnet-bch-arch-01,bch-mainnet,Deployed,K8S,192.168.34.216,idc-chain-host-16,61.111.3.66,4.2,48.048,4.2,48.148,4,4,48,48.1,0.2,0.2,0.048,0.048,,,,,,,,,,,,,,5,49,0.3
idc-int-bch-mainnet-bch-arch-02,bch-mainnet,Deployed,K8S,192.168.34.217,idc-chain-host-25,61.111.3.75,4.2,48.048,4.2,48.148,4,4,48,48.1,0.2,0.2,0.048,0.048,,,,,,,,,,,,,,5,49,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,98,0.6
*** BNB Mainnet ***,,,,,,,,,,,Execution Layer,,,,GethExporter,,,,,,,,,,,,,,,,,,,
idc-int-bnb-mainnet-erigon-arch-01,bnb-mainnet,Deployed,K8S,192.168.34.226,idc-chain-host-23,61.111.3.73,16.2,64.048,16.2,300.058,16,16,64,300,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,7.2
idc-int-bnb-mainnet-geth-full-01,bnb-mainnet,Deployed,K8S,192.168.34.164,idc-chain-host-11,61.111.3.61,16.2,64.048,16.2,64.058,16,16,64,64,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,4.6
idc-svc-bnb-mainnet-erigon-arch-01,bnb-mainnet,Deployed,K8S,192.168.34.98,idc-chain-host-24,61.111.3.74,16.2,64.048,16.2,300.058,16,16,64,300,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,7.2
idc-svc-bnb-mainnet-erigon-arch-02,bnb-mainnet,Deployed,K8S,192.168.34.129,idc-chain-host-21,61.111.3.71,16.2,64.048,16.2,300.058,16,16,64,300,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,7.2
idc-svc-bnb-mainnet-geth-full-01,bnb-mainnet,Deployed,K8S,192.168.34.193,idc-chain-host-25,61.111.3.75,16.2,64.048,16.2,64.058,16,16,64,64,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,4.6
idc-svc-bnb-mainnet-geth-full-02,bnb-mainnet,Deployed,K8S,192.168.34.194,idc-chain-host-28,61.111.3.78,16.2,64.048,16.2,64.058,16,16,64,64,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,4.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,390,35.4
*** BNB Testnet ***,,,,,,,,,,,Execution Layer,,,,GethExporter,,,,,,,,,,,,,,,,,,,
idc-int-bnb-testnet-erigon-arch-01,bnb-testnet,Deployed,K8S,192.168.34.80,idc-chain-host-11,61.111.3.61,16.2,64.048,16.2,150.058,16,16,64,150,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,0.6
idc-int-bnb-testnet-geth-arch-02 (PBSS),bnb-testnet,Deployed,K8S,192.168.34.189,idc-chain-host-29,61.111.3.79,16.2,64.048,16.2,150.058,16,16,64,150,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,0.5
idc-int-bnb-testnet-geth-full-01,bnb-testnet,Deployed,K8S,192.168.34.165,idc-chain-host-26,61.111.3.76,16.2,64.048,16.2,64.058,16,16,64,64,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,0.5
idc-svc-bnb-testnet-erigon-arch-01,bnb-testnet,Deployed,K8S,192.168.34.196,idc-chain-host-20,61.111.3.70,16.2,64.048,16.2,150.058,16,16,64,150,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,0.6
idc-svc-bnb-testnet-erigon-arch-02,bnb-testnet,Deployed,K8S,192.168.34.195,idc-chain-host-22,61.111.3.72,16.2,64.048,16.2,150.058,16,16,64,150,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,0.6
idc-svc-bnb-testnet-geth-full-01,bnb-testnet,Deployed,K8S,192.168.34.198,idc-chain-host-27,61.111.3.77,16.2,64.048,16.2,64.058,16,16,64,64,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,0.5
idc-svc-bnb-testnet-geth-full-02,bnb-testnet,Deployed,K8S,192.168.34.197,idc-chain-host-16,61.111.3.66,16.2,64.048,16.2,64.058,16,16,64,64,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,17,65,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119,455,3.8
*** BTC Mainnet ***,,,,,,,,,,,Execution Layer,,,,BitcoinExporter,,,,,,,,,,,,,,,,,,,
idc-ded-btc-mainnet-bitcoind-arch-upbit01,btc-mainnet,Deployed,K8S,192.168.34.139,idc-chain-host-07,61.111.3.57,2.2,16.048,2.2,16.158,2,2,16,16.1,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,3,17,0.9
idc-int-btc-mainnet-bitcoind-arch-01,btc-mainnet,Deployed,K8S,192.168.34.134,idc-chain-host-18,61.111.3.68,4.2,48.048,4.2,48.158,4,4,48,48.1,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,49,0.9
idc-int-btc-mainnet-bitcoind-arch-02,btc-mainnet,Deployed,K8S,192.168.34.135,idc-chain-host-11,61.111.3.61,4.2,48.048,4.2,48.158,4,4,48,48.1,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,49,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,115,2.7
*** Canton Devnet ***,,,,,,,,,,,Execution Layer,,,,Postgres,,,,Participant,,,,ANS Web UI,,,,Postgres,,,,,,,
idc-val-cc-devnet-splice-full-validator,cc-devnet,Deployed,Server,192.168.33.51,idc-chain-host-06,61.111.3.56,10,55,10,55,3,3,8,8,4,4,12,12,1,1,32,32,1,1,1.5,1.5,1,1,1.5,1.5,,10,55,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** Canton Mainnet ***,,,,,,,,,,,Execution Layer,,,,Postgres,,,,Participant,,,,ANS Web UI,,,,Postgres,,,,,,,
idc-val-cc-devnet-splice-full-validator,cc-devnet,Will Deploy,Server,192.168.33.50,idc-chain-host-15,61.111.3.65,10,55,10,55,3,3,8,8,4,4,12,12,1,1,32,32,1,1,1.5,1.5,1,1,1.5,1.5,,10,55,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** CHZ Mainnet ***,,,,,,,,,,,Execution Layer,,,,GethExporter,,,,,,,,,,,,,,,,,,,
idc-int-chz-mainnet-geth-arch-01,chz-mainnet,Deployed,K8S,192.168.34.169,idc-chain-host-04,61.111.3.54,2.2,8.048,2.2,8.048,2,2,8,8,0.2,0.2,0.048,0.048,,,,,,,,,,,,,,3,9,0.5
idc-int-chz-mainnet-geth-arch-02,chz-mainnet,Deployed,K8S,192.168.34.170,idc-chain-host-26,61.111.3.76,2.2,8.048,2.2,8.048,2,2,8,8,0.2,0.2,0.048,0.048,,,,,,,,,,,,,,3,9,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,18,1
*** Doge Mainnet ***,,,,,,,,,,,Execution Layer,,,,BitcoinExporter,,,,,,,,,,,,,,,,,,,
idc-int-doge-mainnet-doged-arch-01,doge-mainnet,Deployed,K8S,192.168.34.136,idc-chain-host-13,61.111.3.63,4.2,36.048,4.2,36.158,4,4,36,36.1,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,37,0.2
idc-int-doge-mainnet-doged-arch-02,doge-mainnet,Deployed,K8S,192.168.34.137,idc-chain-host-11,61.111.3.61,4.2,36.048,4.2,36.158,4,4,36,36.1,0.2,0.2,0.048,0.058,,,,,,,,,,,,,,5,37,0.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,74,0.4
*** Ethereum Hoodi ***,,,,,,,,,,,Execution Layer,,,,Consensus Layer,,,,GethExporter,,,,Validator,,,,,,,,,,,
idc-int-eth-hoodi-geth-full-01,eth-hoodi,Deployed,K8S,192.168.34.173,idc-chain-host-18,61.111.3.68,7.2,40.048,7.2,40,4,4,16,16,3,3,24,24,0.2,0.2,0.048,,,,,,,,,,,8,41,0.5
idc-int-eth-hoodi-reth-arch-01,eth-hoodi,Deployed,K8S,192.168.34.172,idc-chain-host-20,61.111.3.70,7.2,40.048,7.2,40,4,4,16,16,3,3,24,24,0.2,0.2,0.048,,,,,,,,,,,8,41,0.6
idc-svc-eth-hoodi-geth-full-01,eth-hoodi,Deployed,K8S,192.168.34.175,idc-chain-host-14,61.111.3.64,7.2,40.048,7.2,40,4,4,16,16,3,3,24,24,0.2,0.2,0.048,,,,,,,,,,,8,41,0.5
idc-svc-eth-hoodi-geth-full-02,eth-hoodi,Deployed,K8S,192.168.34.26,idc-chain-host-10,61.111.3.60,7.2,40.048,7.2,40,4,4,16,16,3,3,24,24,0.2,0.2,0.048,,,,,,,,,,,8,41,0.5
idc-svc-eth-hoodi-reth-arch-01,eth-hoodi,Deployed,K8S,192.168.34.174,idc-chain-host-26,61.111.3.76,7.2,40.048,7.2,40,4,4,16,16,3,3,24,24,0.2,0.2,0.048,,,,,,,,,,,8,41,0.6
idc-svc-eth-hoodi-reth-arch-02,eth-hoodi,Deployed,K8S,192.168.34.24,idc-chain-host-15,61.111.3.65,7.2,40.048,7.2,40,4,4,16,16,3,3,24,24,0.2,0.2,0.048,,,,,,,,,,,8,41,0.6
idc-val-eth-hoodi-ssv-validator-01,eth-hoodi,Deployed,K8S,192.168.34.218,idc-chain-host-15,61.111.3.65,2,2,2,2,,,,,,,,,,,,,2,2,2,2,,,,,,2,2,0.01
